SwitchSS/RN	ShearMod	PoissonRatio	R_Density	Crit_TooClose	TooCloseNormal_Multiplier	Minimum_NS
0.0	3.2038e10	0.25	2670.0	1.05	0.6	1.0e6
Ctr_X	Ctr_Y	Ctr_Z	St_L	Dip_L	StAng	DipAng	Rake	a	b	Dc	Theta_i	V_i	Fric_i	Sig0	SigGrad	V_Const	MaxLeng
2106.413074457125	1883.7121773184404	3000.0	98.26991640535834	3000	48.576334374997344	90	0.0005829797359485541	0.003	0.006	0.0001	1.0e7	3.773323083823008e-53	0.41503150509854037	3.2746479335403577e6	0.0	0	230
2041.3955714886233	1810.0256739541396	3000.0	98.26991640535834	3000	48.576334374997344	90	0.0005829797359485541	0.003	0.006	0.0001	1.0e7	3.773323083823008e-53	0.41503150509854037	3.2746479335403577e6	0.0	0	230
1975.2944434706478	1736.339170589839	3000.0	99.71705883544456	3000	47.64254529406455	90	0.0005849839801030386	0.003	0.006	0.0001	1.0e7	1.9737444691145704e-49	0.4407184554641489	3.320653147513142e6	0.0	0	230
1907.0260653537216	1662.6526672255382	3000.0	101.1899259869755	3000	46.7357045889284	90	0.0005870933747893181	0.003	0.006	0.0001	1.0e7	4.7941853765468875e-46	0.46410413525915184	3.368563984778713e6	0.0	0	230
1837.6740621873205	1590.0497889107123	3000.0	99.6228082861841	3000	45.88140399658195	90	0.0005892300122230644	0.003	0.006	0.0001	1.0e7	4.6064131396922275e-43	0.4847075381650296	3.4165699746603607e6	0.0	0	230
1767.2384339714454	1519.6141606948368	3000.0	99.6228082861841	3000	44.11859600341805	90	0.000594108423210905	0.003	0.006	0.0001	1.0e7	1.5121581552976332e-37	0.522812334975904	3.5242433085301784e6	0.0	0	230
1694.6355556566195	1450.262157528436	3000.0	101.1899259869755	3000	43.2642954110716	90	0.0005967061099598005	0.003	0.006	0.0001	1.0e7	3.504027534769202e-35	0.5391489710102316	3.580503403195371e6	0.0	0	230
1619.8654272428448	1383.0774044609852	3000.0	99.90529318671045	3000	40.60129464500463	90	0.000605824649933711	0.003	0.006	0.0001	1.0e7	4.530699917112094e-29	0.5813663928946521	3.7722945664673275e6	0.0	0	230
1544.0116737795934	1320.2271515914344	3000.0	97.14020146015982	3000	38.65980825408991	90	0.0006134961008373878	0.003	0.006	0.0001	1.0e7	9.180603354917799e-26	0.6042083082098799	3.927069249596381e6	0.0	0	230
1467.074295266867	1260.6277738703088	3000.0	97.52625445275109	3000	36.86989764584402	90	0.0006213825145711682	0.003	0.006	0.0001	1.0e7	1.640017001312133e-23	0.6197644150899071	4.0802429130229712e6	0.0	0	230
1389.0532917046667	1204.279271297608	3000.0	94.98886838191761	3000	34.77783136636387	90	0.0006316537172372063	0.003	0.006	0.0001	1.0e7	9.101429888326028e-22	0.631813345138874	4.271197766379226e6	0.0	0	230
1309.9486630929905	1151.1816438733326	3000.0	95.58039792902503	3000	32.96940390346228	90	0.0006415096280397109	0.003	0.006	0.0001	1.0e7	5.8707020991115085e-21	0.6374057285267031	4.445875827775021e6	0.0	0	230
1228.6767843823654	1100.2512665480067	3000.0	96.26592186246393	3000	31.184974658738383	90	0.0006521877388271366	0.003	0.006	0.0001	1.0e7	9.999999999999772e-21	0.6390035611015451	4.626259590534897e6	0.0	0	230
1146.3212806222637	1053.6553894205822	3000.0	93.0656660436034	3000	27.758540601059792	90	0.0006756087655453218	0.003	0.006	0.0001	1.0e7	1.2209198260418126e-21	0.6326946194138688	4.992379698925484e6	0.0	0	230
1063.9657768621637	1010.3103874415815	3000.0	93.0656660436036	3000	27.75854060106002	90	0.0006756087655453201	0.003	0.006	0.0001	1.0e7	1.2209198260419471e-21	0.6326946194138692	4.992379698925461e6	0.0	0	230
980.526648052587	969.1326355615311	3000.0	93.09089734840285	3000	24.77514056883203	90	0.0006995217372919552	0.003	0.006	0.0001	1.0e7	1.2453694731329265e-23	0.618938592018976	5.328896249534858e6	0.0	0	230
894.9202691440614	931.2057588299058	3000.0	94.19438401917868	3000	23.025492008528033	90	0.0007152757518515141	0.003	0.006	0.0001	1.0e7	3.2286631875309554e-25	0.6079809892398417	5.532393258997257e6	0.0	0	230
827.735516076611	900.8642574446053	3000.0	53.3073040004494	3000	26.565051177077976	90	0.0006847537295042164	0.003	0.006	0.0001	1.0e7	2.5614118894333344e-22	0.6280097264208924	5.125241222068039e6	0.0	0	230
760.5507630091597	872.6900061582546	3000.0	92.58496481234398	3000	20.556045219583467	90	0.000739966893815818	0.003	0.006	0.0001	1.0e7	6.909048319616449e-28	0.5895400145792968	5.825568268279616e6	0.0	0	230
691.1987598427595	846.6830049708547	3000.0	55.550978887406394	3000	20.556045219583467	90	0.000739966893815818	0.003	0.006	0.0001	1.0e7	6.909048319616449e-28	0.5895400145792968	5.825568268279616e6	0.0	0	230
808.2302651860609	885.6935067519548	3000.0	10.836250494750121	3000	143.13010235415598	90	180.0047765300784	0.003	0.006	0.0001	1.0e7	4.492704824724681e-101	0.08398274829768025	9.899816335770134e6	0.0	0	230
660.8572584574595	838.0140045750545	3000.0	8.935801075101276	3000	165.96375653207352	90	359.9979221720464	0.003	0.006	0.0001	1.0e7	6.116318015727876e-85	0.19543234881986948	9.470577037547309e6	0.0	0	230
659.7736334079837	832.5958793276795	3000.0	13.877171637165988	3000	38.659808254088944	90	0.0006134961008373914	0.003	0.006	0.0001	1.0e7	9.180603354949044e-26	0.6042083082098901	3.9270692495964603e6	0.0	0	230
