49.626	172.481	75.562	55.168
66.519	191.691	32.326	1.398
105.715	140.927	22.538	45.474
138.61	75.897	32.72	47.399
138.635	108.376	18.686	14.948
130.55	123.094	8.208	2.897
124.437	125.787	6.26	8.284
128.075	133.504	9.202	7.591
133.692	141.292	17.043	26.412
117.039	166.752	21.345	8.058
84.939	190.421	19.678	26.239
113.462	166.821	24.997	53.406
118.206	176.427	12.294	13.971
105.528	190.247	12.894	23.185
134.862	127.647	19.805	13.825
124.039	127.334	15.561	44.719
113.653	181.368	4.771	9.002
118.217	190.216	6.51	6.143
114.439	197.015	6.978	6.152
111.417	202.116	7.637	6.533
124.425	133.932	3.826	7.113

