SwitchSS/RN	ShearMod	PoissonRatio	R_Density	Crit_TooClose	TooCloseNormal_Multiplier	Minimum_NS
0.0	3.2038e10	0.25	2670.0	1.05	0.6	1.0e6
Ctr_X	Ctr_Y	Ctr_Z	St_L	Dip_L	StAng	DipAng	Rake	a	b	Dc	Theta_i	V_i	Fric_i	Sig0	SigGrad	V_Const	MaxLeng
21795.580110497234	35607.73480662984	6000.0	2032.9690047485185	12000	137.2025981617658	90	180.00130530194457	0.0035	0.0075	0.001	1.0e10	1.331811232641038e-18	0.2981365444364403	4.060929900264675e6	24365.57940158805	0	500
22651.933701657454	34779.005524861874	6000.0	353.7637700239156	12000	128.65980825409036	90	180.001105791553	0.0035	0.0075	0.001	1.0e10	1.2624716143322968e-13	0.3382446440006609	3.691500845030646e6	22149.005070183874	0	500
23508.287292817677	34005.52486187845	6000.0	1959.574348173279	12000	139.5739212599009	90	180.00138010426681	0.0035	0.0075	0.001	1.0e10	2.255556149903473e-20	0.2838624473313	4.159967312763298e6	24959.803876579786	0	500
24944.75138121547	32651.933701657454	6000.0	1992.7832924719823	12000	133.87669728592454	90	180.00121636962268	0.0035	0.0075	0.001	1.0e10	2.2418002345159775e-16	0.3160772278977164	3.9185938093809513e6	23511.56285628571	0	500
25994.475138121543	31077.348066298342	6000.0	1857.2084324830523	12000	112.75097634278764	90	180.00090396723334	0.0035	0.0075	0.001	1.0e10	1.415730515595901e-13	0.3386456539285019	3.041991353015593e6	18251.948118093558	0	500
26657.45856353591	29337.016574585632	6000.0	1869.4943995236051	12000	108.97040780848658	90	180.00087550102091	0.0035	0.0075	0.001	1.0e10	4.647633841205492e-16	0.3186290044660413	2.912595242447499e6	17475.571454684996	0	500
27292.81767955801	27569.060773480665	6000.0	1888.1776232745915	12000	110.55604521958345	90	180.0008867495886	0.0035	0.0075	0.001	1.0e10	6.993655587115308e-15	0.3281183103327674	2.965217511846666e6	17791.305071079998	0	500
27955.801104972372	25801.10497237569	6000.0	1888.1776232745947	12000	110.55604521958341	90	180.0008867495886	0.0035	0.0075	0.001	1.0e10	6.9936555871148605e-15	0.32811831033276717	2.9652175118466658e6	17791.305071079994	0	500
28701.657458563535	24088.397790055245	6000.0	1853.0950089777261	12000	116.56505117707799	90	180.00093890594357	0.0035	0.0075	0.001	1.0e10	3.719709862587038e-12	0.3500857017819821	3.185003440710803e6	19110.02064426482	0	500
29613.259668508286	22430.939226519335	6000.0	1932.9122303354588	12000	120.96375653207355	90	180.00098838780684	0.0035	0.0075	0.001	1.0e10	9.688488082619692e-12	0.3534362262802414	3.362183566574203e6	20173.101399445215	0	500
30662.983425414364	20801.10497237569	6000.0	1946.2889451722128	12000	124.59228868750996	90	180.00103813841733	0.0035	0.0075	0.001	1.0e10	2.937809328971771e-12	0.3492597665533001	3.515399997306393e6	21092.39998383836	0	500
31823.2044198895	19226.519337016576	6000.0	1967.3473828469455	12000	128.15722658736902	90	180.00109665446072	0.0035	0.0075	0.001	1.0e10	2.0438416735102192e-13	0.33993080334259157	3.669605736131263e6	22017.634416787576	0	500
33121.54696132596	17707.18232044199	6000.0	2032.9690047485185	12000	132.7974018382342	90	180.00119088890716	0.0035	0.0075	0.001	1.0e10	9.993524788122888e-16	0.32130853139772125	3.871822373273797e6	23230.93423964278	0	500
34530.386740331494	16270.718232044199	6000.0	1992.7832924719835	12000	136.1233027140754	90	180.00127457525576	0.0035	0.0075	0.001	1.0e10	7.62117251022458e-18	0.30424191078658397	4.015107077051e6	24090.642462306	0	500
35883.97790055248	15055.248618784528	6000.0	1648.2247392459976	12000	140.44033203100543	90	180.0014102419346	0.0035	0.0075	0.001	1.0e10	4.7035779077791444e-21	0.27837564366935075	4.195487616237012e6	25172.925697422073	0	500
23011.049723756903	33729.2817679558	6000.0	1889.7935222637611	12000	105.25511870305776	90	180.000852727144	0.0035	0.0075	0.001	1.0e10	1.3106499924675978e-19	0.29002143832467364	2.799609266567479e6	16797.655599404872	0	500
23453.038674033145	31878.45303867403	6000.0	1917.851376542519	12000	101.6336339989404	90	180.0008349338848	0.0035	0.0075	0.001	1.0e10	3.841213968830164e-24	0.25348962761687105	2.7048249765579375e6	16228.949859347624	0	500
23729.281767955796	30607.734806629836	6000.0	683.3876727543078	12000	104.03624346792655	90	180.00084627594705	0.0035	0.0075	0.001	1.0e10	5.119021988400629e-21	0.278671883413268	2.765934058915188e6	16595.60435349113	0	500
26353.591160220993	28591.160220994476	3500.0	1275.5134122226743	7000	85.03025927188958	90	180.0008000001043	0.0035	0.0075	0.001	1.0e10	2.160894322900451e-49	0.05	2.5000006519611767e6	15000.00391176706	0	500
29364.6408839779	24806.62983425414	6000.0	1995.8444053246883	12000	138.36646066342982	90	180.00134068761886	0.0035	0.0075	0.001	1.0e10	1.8736396722630224e-19	0.29127219726198156	4.1098467428924516e6	24659.08045735471	0	500
30801.10497237569	23397.79005524862	6000.0	2032.9690047485185	12000	132.7974018382342	90	180.00119088890716	0.0035	0.0075	0.001	1.0e10	9.993524788122888e-16	0.32130853139772125	3.871822373273797e6	23230.93423964278	0	500
32182.320441988948	21906.077348066297	6000.0	2032.9690047485185	12000	132.79740183823407	90	180.00119088890716	0.0035	0.0075	0.001	1.0e10	9.993524788124945e-16	0.321308531397722	3.87182237327379e6	23230.93423964274	0	500
33591.16022099447	20469.613259668506	6000.0	1992.7832924719823	12000	136.12330271407546	90	180.00127457525576	0.0035	0.0075	0.001	1.0e10	7.621172510223848e-18	0.30424191078658364	4.015107077051002e6	24090.642462306012	0	500
34447.5138121547	19640.88397790055	6000.0	390.666729937319	12000	135.0	90	180.00124455317479	0.0035	0.0075	0.001	1.0e10	4.3187221537778887e-17	0.3103130612676525	3.967017251249455e6	23802.10350749673	0	500
37099.44751381215	15966.85082872928	3500.0	1908.2780153779586	7000	67.89055165624839	90	0.0008370482771127807	0.0035	0.0075	0.001	1.0e10	1.7469515070762437e-23	0.25879096880739716	2.716405601859961e6	16298.433611159768	0	500
36629.83425414364	14806.629834254143	3500.0	595.0458350424886	7000	68.19859051364767	90	0.0008356772845716584	0.0035	0.0075	0.001	1.0e10	6.610650612304476e-24	0.2553897552979059	2.7089066328314045e6	16253.439796988427	0	500
35911.602209944744	13756.906077348067	3500.0	1967.3473828469416	7000	51.84277341263103	90	0.0009556080516566252	0.0035	0.0075	0.001	1.0e10	7.310828748597684e-12	0.35245069016970776	3.2478939791681427e6	19487.363875008858	0	500
34640.88397790055	12237.569060773481	3500.0	1995.8444053246942	7000	48.366460663429706	90	0.0009969370230975966	0.0035	0.0075	0.001	1.0e10	8.816646294329303e-12	0.35310618738877914	3.3901532564983163e6	20340.919538989896	0	500
33287.292817679554	10801.10497237569	3500.0	1953.3336496865952	7000	45.0	90	0.0010443411259810293	0.0035	0.0075	0.001	1.0e10	2.321497781028363e-12	0.3484356859366264	3.53298274814131e6	21197.896488847862	0	500
31823.2044198895	9475.138121546961	3500.0	2001.9525891705437	7000	39.4006606634795	90	0.0011434139706408073	0.0035	0.0075	0.001	1.0e10	1.569973051054846e-14	0.3309485508713996	3.7761928276429684e6	22657.156965857812	0	500
30414.364640883974	8093.922651933701	3500.0	1959.5743481732816	7000	49.57392125990083	90	0.0009817710532985392	0.0035	0.0075	0.001	1.0e10	9.9999999999999e-12	0.3535469897578582	3.3400326866274695e6	20040.196119764816	0	500
29254.14364640884	6574.585635359115	3500.0	1869.4943995236044	7000	55.840305454330604	90	0.0009161110804957455	0.0035	0.0075	0.001	1.0e10	6.285394429613046e-13	0.3438626941976959	3.093557502215767e6	18561.3450132946	0	500
37265.19337016575	13895.027624309392	6000.0	1959.5743481732827	12000	139.57392125990094	90	180.00138010426681	0.0035	0.0075	0.001	1.0e10	2.2555561499033608e-20	0.28386244733129984	4.1599673127633e6	24959.803876579797	0	500
38784.53038674033	12624.309392265193	6000.0	2001.9525891705437	12000	140.5993393365205	90	180.001415951963	0.0035	0.0075	0.001	1.0e10	3.5127613671075366e-21	0.2773539200516625	4.201963155139763e6	25211.778930838576	0	500
40386.74033149171	11546.961325966851	6000.0	1878.4530386740328	12000	151.92751306414706	90	180.00204127750777	0.0035	0.0075	0.001	1.0e10	2.296934818812483e-31	0.195276547661531	4.616013564980665e6	27696.08138988399	0	500
42071.82320441989	10690.60773480663	6000.0	1902.671310245588	12000	154.17900802581073	90	180.00225056842692	0.0035	0.0075	0.001	1.0e10	1.3616020785822036e-33	0.17732825461624857	4.684110246315477e6	28104.661477892867	0	500
43646.408839779	9558.011049723757	6000.0	2031.466995674061	12000	135.0	90	180.00124455317479	0.0035	0.0075	0.001	1.0e10	4.3187221537778887e-17	0.3103130612676525	3.967017251249455e6	23802.10350749673	0	500
45055.248618784535	8093.922651933701	6000.0	2032.9690047485185	12000	132.7974018382342	90	180.00119088890716	0.0035	0.0075	0.001	1.0e10	9.993524788122888e-16	0.32130853139772125	3.871822373273797e6	23230.93423964278	0	500
46408.83977900552	6602.209944751381	6000.0	1995.844405324689	12000	131.63353933657015	90	180.00116503480388	0.0035	0.0075	0.001	1.0e10	4.521606884535926e-15	0.32659183448227536	3.8211944182057087e6	22927.166509234252	0	500
47569.060773480654	5303.867403314917	6000.0	1486.5882924943353	12000	131.98721249581678	90	180.00117272075946	0.0035	0.0075	0.001	1.0e10	2.8914408761818246e-15	0.3250269407842714	3.836595453871362e6	23019.57272322817	0	500
